Current;Current Ideal;Power;;;;;;
1,534713;6,4457946;193,373838;;;;;;
1,534879;6,4464918;193,394754;;;;;;
1,535045;6,447189;193,41567;;;;;;
1,53521;6,447882;193,43646;;;;;;
1,535375;6,448575;193,45725;;;;;;
1,535541;6,4492722;193,478166;;;;;;
1,535706;6,4499652;193,498956;;;;;;
1,535871;6,4506582;193,519746;;;;;;
1,536036;6,4513512;193,540536;;;;;;
1,536201;6,4520442;193,561326;;;;;;
1,536365;6,452733;193,58199;;;;;;
1,53653;6,453426;193,60278;;;;;;
1,536695;6,454119;193,62357;;;;;;
1,536859;6,4548078;193,644234;;;;;;
1,537023;6,4554966;193,664898;;;;;;
1,537187;6,4561854;193,685562;;;;;;
1,537351;6,4568742;193,706226;;;;;;
1,537515;6,457563;193,72689;;;;;;
1,537679;6,4582518;193,747554;;;;;;
1,537843;6,4589406;193,768218;;;;;;
1,538006;6,4596252;193,788756;;;;;;
1,53817;6,460314;193,80942;;;;;;
1,538333;6,4609986;193,829958;;;;;;
1,538496;6,4616832;193,850496;;;;;;
1,538659;6,4623678;193,871034;;;;;;
1,538823;6,4630566;193,891698;;;;;;
1,538985;6,463737;193,91211;;;;;;
1,539148;6,4644216;193,932648;;;;;;
1,539311;6,4651062;193,953186;;;;;;
1,539473;6,4657866;193,973598;;;;;;
1,539636;6,4664712;193,994136;;;;;;
1,539798;6,4671516;194,014548;;;;;;
1,53996;6,467832;194,03496;;;;;;
1,540123;6,4685166;194,055498;;;;;;
1,540285;6,469197;194,07591;;;;;;
1,540446;6,4698732;194,096196;;;;;;
1,540608;6,4705536;194,116608;;;;;;
1,54077;6,471234;194,13702;;;;;;
1,540931;6,4719102;194,157306;;;;;;
1,541093;6,4725906;194,177718;;;;;;
1,541254;6,4732668;194,198004;;;;;;
1,541415;6,473943;194,21829;;;;;;
1,541576;6,4746192;194,238576;;;;;;
1,541737;6,4752954;194,258862;;;;;;
1,541898;6,4759716;194,279148;;;;;;
1,542059;6,4766478;194,299434;;;;;;
1,54222;6,477324;194,31972;;;;;;
1,54238;6,477996;194,33988;;;;;;
1,54254;6,478668;194,36004;;;;;;
1,542701;6,4793442;194,380326;;;;;;
1,542861;6,4800162;194,400486;;;;;;
1,543021;6,4806882;194,420646;;;;;;
1,543181;6,4813602;194,440806;;;;;;
1,543341;6,4820322;194,460966;;;;;;
1,543501;6,4827042;194,481126;;;;;;
1,54366;6,483372;194,50116;;;;;;
1,54382;6,484044;194,52132;;;;;;
1,543979;6,4847118;194,541354;;;;;;
1,544138;6,4853796;194,561388;;;;;;
1,544297;6,4860474;194,581422;;;;;;
1,544456;6,4867152;194,601456;;;;;;
1,544615;6,487383;194,62149;;;;;;
1,544774;6,4880508;194,641524;;;;;;
1,544933;6,4887186;194,661558;;;;;;
1,545092;6,4893864;194,681592;;;;;;
1,54525;6,49005;194,7015;;;;;;
1,545408;6,4907136;194,721408;;;;;;
1,545567;6,4913814;194,741442;;;;;;
1,545725;6,492045;194,76135;;;;;;
1,545883;6,4927086;194,781258;;;;;;
1,546041;6,4933722;194,801166;;;;;;
1,546198;6,4940316;194,820948;;;;;;
1,546356;6,4946952;194,840856;;;;;;
1,546514;6,4953588;194,860764;;;;;;
1,546671;6,4960182;194,880546;;;;;;
1,546828;6,4966776;194,900328;;;;;;
1,546986;6,4973412;194,920236;;;;;;
1,547143;6,4980006;194,940018;;;;;;
1,5473;6,49866;194,9598;;;;;;
1,547457;6,4993194;194,979582;;;;;;
1,547613;6,4999746;194,999238;;;;;;
1,54777;6,500634;195,01902;;;;;;
1,547927;6,5012934;195,038802;;;;;;
1,548083;6,5019486;195,058458;;;;;;
1,548239;6,5026038;195,078114;;;;;;
1,548395;6,503259;195,09777;;;;;;
1,548552;6,5039184;195,117552;;;;;;
1,548707;6,5045694;195,137082;;;;;;
1,548863;6,5052246;195,156738;;;;;;
1,549019;6,5058798;195,176394;;;;;;
1,549175;6,506535;195,19605;;;;;;
1,54933;6,507186;195,21558;;;;;;
1,549486;6,5078412;195,235236;;;;;;
1,549641;6,5084922;195,254766;;;;;;
1,549796;6,5091432;195,274296;;;;;;
1,549951;6,5097942;195,293826;;;;;;
